Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Beans,6.7,28-32,2.06,6,5,40
Dill,5.7,28-26,4.14,14,10,18
Beans,6.6,20-34,4.02,9,12,38
Turmeric,6.5,30-35,4.92,15,12,16
Curry Leaves,6.7,22-35,2.95,11,15,34
Star Fruit,5.7,22-30,3.69,11,15,36
Swiss Chard,6.3,22-25,1.93,9,9,35
Peas,6.9,30-31,7.67,15,11,38
Acerola Cherry,6.7,22-30,8.22,10,14,18
Horseradish,7.0,20-28,2.77,7,6,36
Watercress,6.2,23-26,7.18,9,14,17
Hibiscus,6.9,27-25,6.58,7,11,34
Guava,7.0,25-28,3.29,11,9,19
Zucchini,6.8,15-33,2.38,10,9,34
Melons,6.1,15-34,3.41,14,7,31
Aloe Vera,5.7,28-31,8.28,5,15,27
Soybeans,6.9,23-30,0.88,13,13,29
Bok Choy,6.8,20-28,7.45,7,11,17
Dandelion Greens,6.1,26-34,9.28,7,7,29
Coconut,6.9,18-35,3.67,10,5,25
Zucchini,6.9,24-30,1.23,10,9,35
Lavender,6.6,17-29,4.48,10,14,16
Yacon,6.3,23-26,5.59,9,15,30
Cranberry,6.9,15-30,3.43,13,12,21
Pomegranate,6.7,16-34,0.89,7,12,16
Yacon,5.8,20-34,6.88,7,9,19
Beets,6.3,27-25,4.23,15,10,25
Holy Basil,6.5,24-33,1.37,15,12,27
Turmeric,5.8,15-28,4.52,12,8,34
Peppers,6.9,20-26,7.57,9,12,18
Soursop,6.4,29-33,7.99,14,13,32
Coffee,6.6,22-29,4.18,5,13,34
Blackberry,5.8,15-28,4.69,14,15,24
Clove,5.5,26-35,7.11,7,9,27
Pandan,5.9,27-27,9.23,13,11,25
Star Fruit,5.9,27-25,1.39,5,8,26
Ceylon Spinach,6.1,28-30,2.86,15,11,28
Camellia,5.5,20-31,7.22,5,9,21
Mango,7.0,30-25,5.37,9,5,20
Watercress,6.2,19-35,5.04,7,11,36
Rose Apple,6.9,21-28,7.27,5,12,33
Artichoke,6.2,29-32,7.0,12,5,20
Saffron,6.2,30-26,5.87,14,11,38
Pineapple,5.7,25-31,0.85,11,15,18
Coconut,5.7,25-30,4.05,5,15,16
Clove,6.7,30-30,0.51,13,12,22
Avocado,5.6,17-34,7.36,5,10,20
Dragon Fruit,6.4,25-33,1.29,13,14,21
Coriander,6.1,18-30,5.64,7,5,26
Endive,5.6,29-35,2.21,5,12,38
Clove,6.1,15-29,6.45,6,8,19
Neem,5.7,18-33,3.71,14,15,36
Beans,6.4,15-32,4.89,8,12,22
Raspberry,6.0,23-26,7.3,9,5,37
Mushrooms,6.7,28-28,2.24,12,13,15
Holy Basil,6.3,23-35,7.47,7,8,30
Blueberry,5.5,21-30,3.46,15,11,17
Alfalfa,6.1,16-26,7.48,11,8,28
Yam,6.2,18-35,1.84,10,10,40
Yacon,6.0,28-25,9.16,11,11,28
Guava,6.8,17-29,7.92,7,7,30
Eggplant,5.6,29-29,0.99,5,8,16
Dragon Fruit,6.7,18-33,9.17,5,8,16
Dragon Fruit,6.4,27-30,7.89,5,5,30
Fennel,5.8,19-31,8.6,8,7,18
Asparagus,6.7,23-30,6.79,14,6,30
Strawberry,5.7,25-27,7.29,14,12,31
Strawberry,6.9,20-27,6.97,12,10,22
Fennel,6.9,18-32,5.53,12,8,20
Green Onions,6.3,15-30,1.34,5,11,33
Swiss Chard,6.2,15-33,3.3,8,13,22
Tarragon,5.9,29-31,9.73,11,8,22
Endive,5.6,19-30,6.65,14,10,18
Broccoli,6.0,25-32,7.36,7,13,34
Fenugreek,6.9,29-32,3.58,15,8,23
Seaweed,6.3,25-26,3.41,5,8,36
Ginseng,5.6,22-30,7.23,15,11,36
Zucchini,6.6,27-26,0.65,6,12,31
Moringa,5.9,23-26,2.45,9,13,35
Lychee,5.9,27-32,6.6,5,6,25
Mango,5.9,25-32,7.5,15,9,37
Chives,5.8,29-30,6.82,13,8,20
Endive,7.0,22-33,8.63,6,5,17
Pineapple,5.7,25-25,4.05,14,9,40
Raspberry,5.7,25-29,2.08,5,7,19
Bitter Gourd,6.2,23-32,4.22,15,10,37
Yacon,6.3,26-26,9.75,13,15,32
Radicchio,5.9,20-27,7.95,10,13,32
Neem,6.4,20-29,4.83,7,13,38
Peas,6.7,19-33,0.68,11,9,24
Beans,6.2,23-33,9.25,5,9,31
Soursop,6.1,21-25,6.03,12,11,23
Star Fruit,6.4,27-30,9.86,6,8,39
Jasmine,6.2,26-33,1.57,10,6,38
Gooseberry,6.8,19-26,2.51,13,13,20
Peas,5.7,16-35,0.68,10,12,35
Horseradish,6.1,17-25,1.84,8,7,17
Jackfruit,6.4,26-31,2.43,5,13,24
Basil,6.5,15-29,2.27,8,6,25
Kale,6.0,22-30,8.41,8,12,28
Seaweed,6.2,15-27,2.14,6,6,35
Guava,6.9,18-26,6.96,13,6,15
Ginseng,6.2,23-33,7.22,9,15,29
Strawberry,5.9,23-25,9.65,9,9,27
Asparagus,6.8,19-33,9.86,5,5,22
Sugarcane,6.1,16-33,4.03,5,9,35
Pumpkin,5.8,22-27,2.38,6,8,27
Sweet Corn,5.7,17-30,5.1,8,11,20
Alfalfa,6.4,18-27,1.05,11,11,28
Lettuce,5.8,23-30,8.24,14,5,17
Yam,6.1,22-31,8.92,5,15,23
Broccoli,5.6,28-29,8.16,6,15,26
Watercress,5.8,21-32,8.94,11,11,35
Dandelion Greens,6.9,29-26,2.47,15,13,28
Ginseng,6.6,23-28,5.63,13,12,39
Parsley,6.7,23-29,0.96,14,14,24
Artichoke,5.5,15-27,4.24,7,11,35
Yam,6.0,25-28,0.65,9,14,27
Chives,6.6,24-34,7.55,13,5,30
Fenugreek,6.1,26-34,1.47,15,15,27
Sapodilla,5.7,18-35,2.52,5,5,38
Soybeans,6.4,24-31,4.47,13,5,30
Sweet Corn,6.0,17-26,8.19,10,11,30
Arugula,5.8,18-28,1.61,5,14,28
Agarwood,6.0,23-35,4.86,10,8,26
Ginger,6.9,28-33,3.06,11,9,17
Dill,6.8,29-29,6.89,9,9,30
Cassava,5.8,25-25,4.15,13,5,20
Wasabi,6.8,18-33,6.41,9,11,28
Melons,5.8,27-33,8.73,9,6,25
Curry Leaves,6.8,30-34,2.45,9,9,35
Rose Apple,6.0,19-29,8.49,11,15,37
Zucchini,6.2,28-29,9.53,8,9,37
Rosemary,6.0,15-27,3.77,9,9,24
Cabbage,6.6,16-33,6.5,6,5,25
Dragon Fruit,6.8,26-27,7.03,11,14,25
Zucchini,6.1,16-35,9.6,13,14,25
Dill,6.3,20-34,9.13,7,7,39
Dill,6.7,21-34,9.3,14,14,36
Radicchio,5.9,27-30,6.71,12,9,25
Passionfruit,6.0,21-31,1.06,7,11,22
Endive,6.5,28-27,3.15,6,10,28
Pomegranate,6.6,29-29,9.44,6,14,30
Lettuce,5.6,24-35,2.83,12,9,19
Lettuce,6.5,15-26,9.45,14,7,21
Cauliflower,6.9,25-27,2.38,12,12,33
Horseradish,6.2,23-26,8.72,13,14,31
Taro,6.3,19-27,5.16,8,13,20
Chamomile,6.4,17-35,9.47,5,5,23
Radicchio,6.3,22-32,6.32,11,10,31
Strawberry,5.7,15-32,1.0,6,11,27
Cauliflower,6.6,19-32,3.55,6,12,38
Soybeans,6.5,23-35,1.05,7,15,35
Ginseng,5.8,26-25,4.76,12,6,17
Tarragon,6.6,28-31,1.82,6,7,20
Sunflower,6.5,24-29,6.1,15,10,36
Blackberry,6.5,16-34,7.89,5,14,38
Bok Choy,6.0,28-30,7.07,11,9,23
Coconut,6.6,21-26,3.61,13,15,22
Green Onions,5.6,17-32,1.25,12,7,25
Dill,6.3,27-27,3.51,15,7,21
Kiwi,5.8,17-32,6.54,10,6,32
Melons,6.1,25-26,7.21,9,14,28
Peanuts,5.6,19-30,6.26,6,5,34
Cassava,6.2,26-35,2.9,12,7,35
Ginger,5.8,19-28,8.91,7,9,24
Pumpkin,5.9,21-33,0.71,13,14,38
Betel Leaf,6.5,16-33,8.36,10,6,30
Swiss Chard,6.1,21-33,4.29,8,5,35
Snake Gourd,6.6,28-31,4.65,15,7,34
Lettuce,6.6,18-27,8.44,13,15,38
Yacon,6.9,30-32,1.84,5,15,23
Lettuce,6.4,24-31,6.31,15,14,19
Betel Leaf,6.0,29-29,6.96,10,14,15
Chili Pepper,5.6,18-30,9.37,13,7,27
Acerola Cherry,6.5,23-26,9.8,5,11,21
Neem,6.7,21-27,6.43,11,11,38
Thyme,6.9,27-29,9.35,11,15,15
Chili Pepper,5.9,30-35,9.74,13,14,29
Celery,6.8,23-25,4.5,12,13,27
Rosemary,6.3,27-34,5.39,7,10,30
Coriander,5.6,18-30,9.72,15,11,27
Tomato,5.6,27-29,2.01,13,15,37
Hops,5.7,21-30,3.34,10,5,24
Snake Gourd,6.2,20-31,8.92,8,14,34
Kiwi,6.9,15-31,2.19,9,7,22
Carrots,6.7,17-26,8.59,14,11,17
Asparagus,5.5,18-34,6.98,7,13,19
Lettuce,6.5,22-28,8.76,13,12,31
Soursop,6.0,29-32,3.29,5,15,15
Mustard Greens,6.3,16-31,3.09,6,12,29
Turmeric,5.6,19-28,6.26,12,6,20
Snake Gourd,6.3,15-29,5.53,12,8,38
Coriander,5.8,20-28,7.71,5,6,39
Neem,6.2,18-28,1.25,9,10,25
Snake Gourd,6.7,27-31,1.09,7,7,24
Zucchini,6.9,20-32,9.39,7,11,37
Carrots,6.6,27-27,7.52,7,11,22
Stevia,6.7,27-32,8.81,6,7,15
Clove,6.3,27-34,9.49,5,14,30
Sunflower,6.1,24-26,2.97,14,13,18
Camellia,6.6,30-29,6.98,15,11,34
Carrots,6.5,21-25,6.42,11,6,24
Mulberry,6.4,15-31,2.75,11,5,19
Acerola Cherry,6.6,22-30,8.5,13,11,15
Dandelion Greens,7.0,22-33,1.5,9,13,38
Melons,7.0,25-29,5.78,7,7,40
Lettuce,6.2,24-26,5.9,6,9,35
Holy Basil,6.1,22-25,9.02,11,10,17
Beets,6.9,29-31,5.82,11,8,38
Pineapple,6.2,16-34,1.4,10,5,19
Peppers,6.6,19-34,7.89,9,6,26
Ginger,6.4,27-26,2.45,13,6,15
Oregano,5.9,25-35,2.41,5,13,34
Kiwi,7.0,22-28,7.71,11,9,19
Mint,6.2,22-29,2.07,10,13,15
Star Fruit,6.3,20-25,8.55,8,8,16
Cauliflower,6.3,30-27,3.34,14,12,18
Fennel,6.9,22-27,1.82,9,8,19
Mint,6.0,18-30,4.44,11,7,29
Watermelon,6.4,30-31,7.59,13,15,39
Yam,6.7,18-27,3.41,15,11,27
Pumpkin,6.6,23-30,4.03,15,11,22
Strawberry,6.6,27-34,1.11,5,15,30
Arugula,5.6,19-29,3.87,13,10,32
Dandelion Greens,5.9,30-34,9.57,6,7,33
Bok Choy,6.6,15-33,7.94,6,7,18
Persimmon,6.9,30-33,1.24,8,14,17
Pineapple,6.0,17-31,4.32,5,15,33
Jasmine,6.7,18-32,2.27,8,15,23
Agarwood,6.3,22-27,0.92,15,5,33
Taro,6.8,29-26,3.47,15,8,30
Basil,6.9,25-35,5.99,5,14,24
Arugula,6.4,27-27,9.88,12,12,21
Sage,6.7,17-33,6.76,10,15,16
Pineapple,6.2,17-29,6.11,5,5,38
Pomegranate,6.7,23-25,2.52,11,6,35
Coconut,5.6,15-31,6.68,12,7,28
Swiss Chard,5.8,26-27,5.42,5,15,37
Passionfruit,6.1,23-28,5.16,5,13,20
Saffron,6.5,25-35,7.55,13,5,21
Watermelon,6.4,22-32,3.1,5,8,24
Dill,6.9,23-31,0.84,5,14,36
Guava,6.2,22-29,7.09,15,13,30
Kiwi,6.3,22-25,6.67,5,9,24
Acerola Cherry,5.9,27-33,4.94,9,14,16
Lettuce,6.8,26-26,5.84,12,8,15
Jasmine,6.0,22-31,8.97,10,8,23
Kale,5.6,26-32,6.79,12,9,20
Mulberry,5.9,15-29,0.8,13,7,33
Mulberry,5.9,29-27,8.32,5,10,28
Wasabi,6.4,17-29,7.67,10,13,26
Bael,6.1,30-28,6.27,9,5,38
Microgreens,6.0,20-31,7.9,12,6,21
Gooseberry,5.7,18-34,8.01,6,7,32
Rosemary,5.6,22-35,8.34,7,8,15
Coffee,6.3,19-34,0.89,5,15,29
Sugarcane,6.8,22-26,6.26,15,7,20
Peas,6.9,24-28,7.75,14,8,32
Pomegranate,5.6,22-30,8.23,5,9,39
Dragon Fruit,5.7,15-28,9.16,10,15,20
Celery,5.6,25-34,2.58,8,7,37
Stevia,5.8,16-35,7.57,12,14,32
Asparagus,6.2,22-33,9.91,13,13,22
Gooseberry,5.8,28-35,5.76,9,8,39
Nutmeg,6.7,26-33,3.22,11,6,37
Pandan,5.9,26-28,8.75,12,12,20
Soursop,6.3,19-30,9.76,6,10,34
Lettuce,6.8,22-33,3.72,11,5,26
Mint,6.7,23-35,2.39,7,10,33
Beans,6.2,28-30,7.98,11,15,15
Echinacea,5.8,16-26,7.59,9,7,17
Artichoke,6.0,26-28,9.55,15,7,35
Passionfruit,6.8,15-28,8.4,14,7,34
Mushrooms,6.9,18-31,5.62,9,13,35
Peppers,6.5,21-33,6.1,9,11,35
Passionfruit,5.7,28-26,1.12,10,15,33
Cabbage,6.7,23-28,4.32,14,13,32
Betel Leaf,6.2,25-33,9.53,6,11,35
Taro,6.5,20-34,2.44,5,13,25
Raspberry,5.6,22-29,9.14,11,9,35
Celery,5.9,21-28,3.78,6,14,22
Cabbage,7.0,28-26,7.6,13,6,18
Dandelion Greens,6.9,29-30,1.13,10,12,33
Purslane,6.7,25-29,7.01,11,9,20
Ginseng,6.2,24-32,3.72,14,6,22
Chamomile,6.3,22-27,6.01,9,10,28
Fennel,6.5,29-35,0.54,8,13,17
Tea,6.5,28-33,8.91,6,11,21
Artichoke,6.2,26-26,2.35,6,13,19
Dill,6.7,20-33,0.86,12,13,30
Pomegranate,5.9,19-34,0.9,10,7,17
Sugarcane,5.8,27-29,5.53,7,11,27
Sage,5.7,28-28,9.57,10,11,31
Purslane,5.6,23-35,2.66,10,7,25
Dandelion Greens,6.7,15-26,1.21,12,12,35
Chili Pepper,6.9,25-26,2.2,13,12,36
Sugarcane,7.0,27-27,7.81,14,14,37
Gooseberry,5.7,15-26,6.76,12,12,39
Eggplant,5.6,18-25,3.05,9,13,35
Luffa,6.0,19-34,9.31,5,9,23
Moringa,5.7,19-33,3.63,7,11,27
Camellia,6.3,24-29,8.2,14,13,33
Pineapple,6.7,27-32,2.81,9,13,37
Coffee,6.9,25-34,3.06,12,5,33
Gooseberry,6.9,27-28,4.45,15,12,37
Passionfruit,6.7,22-32,9.36,5,5,16
Mustard Greens,6.6,29-25,8.44,12,6,18
Fenugreek,5.6,15-28,9.89,8,10,20
Cranberry,6.0,23-32,8.07,5,6,27
Aloe Vera,6.7,26-31,7.86,15,10,29
Soybeans,6.4,24-28,3.9,9,12,17
Beans,7.0,30-25,2.4,5,10,37
Melons,6.3,16-33,8.8,13,10,32
Mushrooms,6.5,22-30,8.11,9,13,29
Dragon Fruit,6.2,18-26,1.95,13,12,38
Mango,6.2,25-28,4.86,11,8,35
Yam,5.7,27-29,2.96,9,11,21
Ginseng,6.0,20-28,6.44,6,15,33
Tea,5.5,30-35,2.66,10,5,38
Bok Choy,6.1,18-35,0.9,8,9,18
Bitter Gourd,5.6,22-32,8.78,10,6,25
Sunflower,6.4,30-31,7.5,12,13,22
Mango,5.9,16-35,9.13,15,8,22
Taro,5.5,30-25,3.4,15,15,38
Sage,7.0,20-25,4.0,14,8,40
Chili Pepper,6.7,24-35,6.92,9,5,20
Jasmine,6.1,27-26,5.37,10,9,17
Celery,6.3,15-28,6.02,11,13,37
Tarragon,6.2,15-30,5.98,14,8,39
Watermelon,5.7,21-28,8.22,8,12,24
Turmeric,6.6,22-29,1.15,7,9,30
Neem,6.5,27-35,5.39,15,8,17
Passionfruit,6.5,29-27,1.89,6,13,24
Luffa,5.8,24-26,2.87,8,9,36
Jasmine,6.9,29-25,6.76,5,11,18
Acerola Cherry,5.8,20-31,9.05,7,10,15
Tarragon,6.1,24-30,4.23,15,7,36
Blueberry,5.8,28-25,2.43,5,14,20
Acerola Cherry,5.7,27-29,9.21,14,9,38
Mustard Greens,6.3,16-31,4.54,15,8,39
Tea,6.3,21-26,2.65,6,14,18
Rosemary,6.7,20-29,2.29,6,10,32
Hops,5.9,30-26,4.31,7,15,36
Yacon,6.7,20-30,3.41,7,13,35
Peanuts,6.5,17-29,4.67,6,14,40
Acerola Cherry,5.9,17-32,7.19,11,11,15
Coconut,6.0,28-26,0.53,9,8,21
Blueberry,6.2,21-28,5.38,5,15,40
Clove,6.7,22-27,9.08,7,8,28
Soybeans,6.9,18-35,0.71,11,12,15
Hops,6.4,28-34,3.5,15,8,34
Taro,5.6,21-33,8.21,14,9,32
Saffron,6.0,20-35,8.31,11,11,27
Ceylon Spinach,5.9,17-29,5.05,6,12,20
Beets,5.7,25-31,9.29,7,10,34
Pandan,6.5,21-28,8.38,15,13,39
Purslane,6.4,16-27,6.0,13,8,27
Sage,6.1,23-34,9.66,9,15,21
Persimmon,5.5,27-31,2.12,8,13,29
Sunflower,6.0,30-26,0.74,11,12,39
Betel Leaf,5.9,19-25,9.31,6,8,33
Peas,6.9,23-26,0.98,10,15,26
Kale,6.1,15-26,4.59,11,14,28
Beans,5.9,22-31,2.14,8,11,22
Tomato,6.3,15-28,5.26,11,14,24
Alfalfa,6.3,15-33,8.95,10,13,22
Lettuce,6.8,19-29,9.53,7,10,27
Celery,5.8,20-32,5.0,8,7,28
Cranberry,6.4,19-27,8.37,11,10,26
Marjoram,5.9,27-34,3.29,7,9,23
Clove,5.6,18-31,2.35,11,5,39
Rose Apple,6.6,22-28,5.87,10,14,27
Fig,6.6,17-32,7.64,14,12,18
Coffee,6.2,29-26,1.8,10,15,31
Moringa,5.9,18-29,4.18,15,6,22
Ginseng,6.4,28-34,5.05,15,10,21
Watercress,6.6,17-34,9.01,6,8,15
Wasabi,6.7,29-30,3.35,15,6,15
Agarwood,5.6,19-32,3.26,12,8,40
Sunflower,5.9,28-27,9.02,6,9,15
Peppers,6.3,27-33,1.83,12,13,17
Jasmine,6.6,29-27,2.83,11,12,18
Tea,6.2,27-29,4.22,12,14,25
Zucchini,6.9,23-26,3.6,6,13,15
Kale,6.9,27-33,4.21,12,11,30
Betel Leaf,5.7,30-33,3.78,9,8,30
Moringa,6.7,18-29,0.78,13,12,17
Seaweed,6.5,16-27,0.9,8,7,26
Peppermint,6.9,30-33,2.27,5,6,28
Spinach,6.5,29-32,4.05,7,5,19
Lettuce,6.3,15-26,4.09,12,7,16
Asparagus,6.1,17-35,6.97,12,9,23
Broccoli,6.6,16-30,7.75,5,11,15
Holy Basil,6.8,22-33,9.1,10,7,15
Ginseng,5.8,26-34,8.66,6,11,27
Neem,5.8,30-35,8.53,6,6,22
Thyme,6.5,20-32,6.8,7,6,16
Coconut,6.1,25-27,1.92,6,14,28
Camellia,5.8,25-30,6.97,14,15,22
Wasabi,5.8,20-31,6.67,8,7,22
Blackberry,5.9,23-27,8.72,13,11,23
Ginger,6.0,22-35,0.52,15,8,32
Blueberry,6.6,22-32,6.73,15,11,16
Jasmine,5.9,17-29,2.48,6,9,29
Beets,6.7,27-29,7.99,8,8,15
Jackfruit,6.0,21-25,1.68,5,11,35
Chamomile,6.7,21-28,7.87,5,8,26
Endive,6.1,23-33,9.49,9,5,22
Mint,6.8,18-33,1.26,7,5,35
Wasabi,6.7,26-27,9.37,7,6,36
Sugarcane,5.8,27-28,1.45,10,6,37
Blackberry,5.9,26-31,5.95,15,8,37
Soursop,6.0,26-26,9.39,14,6,32
Papaya,5.6,19-25,3.6,10,5,34
Persimmon,6.4,20-27,5.66,9,8,39
Chamomile,5.5,23-26,9.35,15,11,35
Cassava,6.9,28-30,7.8,9,8,38
Turmeric,7.0,22-29,7.07,15,14,39
Nutmeg,6.9,22-27,6.8,11,11,23
Dill,6.7,26-29,6.84,13,15,27
Papaya,6.6,22-27,1.07,6,14,18
Curry Leaves,6.3,20-28,9.66,9,11,38
Tea,6.5,16-33,1.04,10,5,23
Holy Basil,6.2,15-34,4.97,12,10,19
Holy Basil,6.8,22-32,6.3,7,6,35
Tea,6.4,30-25,9.19,15,15,18
Luffa,6.9,20-32,3.53,11,12,31
Lemongrass,5.6,30-28,5.68,11,14,18
Oregano,6.0,21-31,2.73,14,11,16
Dandelion Greens,6.9,25-28,1.03,11,14,15
Rose Apple,6.7,21-31,5.26,7,13,35
Thyme,5.9,24-30,2.85,6,8,30
Mulberry,6.6,18-25,2.16,14,11,38
Moringa,5.8,18-34,0.56,14,7,21
Fennel,6.1,21-26,5.1,5,5,32
Coffee,6.2,29-29,9.03,8,12,39
Mustard Greens,5.7,23-31,2.71,9,11,20
Hops,6.3,15-26,7.98,14,8,28
Moringa,6.3,24-27,9.72,5,7,27
Celery,7.0,18-35,5.27,8,15,23
Rosemary,6.6,16-33,7.69,9,8,15
Kiwi,5.9,19-30,1.4,14,8,26
Thyme,5.5,22-28,6.12,7,9,17
Bitter Gourd,6.2,28-27,2.27,12,13,32
Jasmine,6.2,24-34,6.57,8,14,28
Sugarcane,6.6,18-27,2.99,13,12,17
Moringa,6.6,23-26,7.14,11,11,33
Chamomile,6.6,30-33,0.62,11,5,29
Sunflower,6.2,26-25,2.75,14,7,24
Marjoram,5.7,19-33,4.79,7,10,23
Seaweed,6.1,20-26,4.06,9,11,20
Jackfruit,6.1,22-25,6.92,9,5,19
Ginseng,5.8,25-26,9.1,11,12,24
Oregano,6.6,30-35,4.27,15,15,40
Turmeric,6.4,21-29,8.65,5,12,37
Kale,6.1,20-31,0.85,11,9,31
Horseradish,6.9,29-30,3.17,9,13,37
Gooseberry,5.6,26-34,7.23,10,9,23
Microgreens,6.4,29-32,4.05,10,6,28
Melons,6.8,28-25,2.4,5,14,22
Tomato,6.6,17-31,2.82,5,10,33
Kale,6.3,21-25,8.95,10,14,21
Kale,5.5,17-34,0.7,8,12,39
Jasmine,6.3,21-30,1.9,8,10,15
Snake Gourd,6.4,29-35,9.08,11,11,23
Celery,5.9,28-26,4.62,14,14,19
Fenugreek,6.2,25-30,8.38,12,5,25
Arugula,5.9,27-33,0.6,6,5,33
Celery,5.8,23-34,2.04,9,7,32
Cabbage,6.9,27-28,3.58,13,7,17
Dandelion Greens,7.0,28-27,7.91,8,5,32
Blackberry,6.2,15-26,2.57,13,10,35
Peppermint,6.4,28-35,7.42,8,14,38
Guava,5.8,17-35,7.01,11,13,19
Asparagus,6.7,29-29,2.41,8,7,20
Kale,7.0,30-33,3.22,9,11,28
Parsley,6.8,29-29,3.69,8,14,23
Holy Basil,6.6,21-28,5.68,6,5,32
Vanilla,5.8,23-34,4.36,8,12,24
Coriander,6.4,24-30,8.57,10,15,38
Green Onions,6.8,24-27,7.0,14,11,28
Persimmon,6.4,29-35,4.47,15,14,24
Nutmeg,6.0,26-31,3.9,11,5,27
Basil,6.2,16-28,2.66,13,9,25
Camellia,6.1,16-27,9.26,12,11,15
Pomegranate,6.8,27-29,2.65,7,7,33
Arugula,6.8,25-30,6.13,11,11,35
Guava,5.6,22-27,7.1,8,8,31
Ginseng,5.5,21-27,5.42,5,13,39
Asparagus,6.0,28-27,4.86,15,14,26
Spinach,6.0,15-26,9.47,12,12,19
Clove,6.8,27-29,3.16,15,6,24
Bitter Gourd,6.7,22-35,3.27,6,9,31
Gooseberry,5.6,22-33,5.5,5,5,34
Ginseng,5.9,26-34,5.37,11,5,25
Broccoli,5.7,23-33,9.76,13,13,19
Gooseberry,5.7,24-28,3.02,6,13,15
Guava,6.1,24-26,1.75,9,5,36
Echinacea,6.1,23-27,4.22,8,7,27
Guava,6.7,24-26,3.96,5,9,21
Turmeric,7.0,16-35,9.16,11,8,38
Marjoram,5.9,25-30,4.02,8,9,38
Ceylon Spinach,6.2,27-32,2.44,6,13,30
Snake Gourd,6.2,15-25,5.81,9,9,23
Lemongrass,5.8,23-26,3.79,5,7,21
Clove,5.7,28-27,1.72,13,8,31
Passionfruit,6.4,27-28,2.61,14,9,19
Betel Leaf,6.0,25-33,6.62,12,6,19
Lettuce,6.4,18-32,9.18,13,7,15
Chives,6.6,26-32,1.98,10,5,27
Gooseberry,6.3,30-32,9.95,5,7,39
Cucumber,6.0,15-35,7.05,10,10,36
Oregano,6.4,15-33,6.78,7,11,33
Neem,6.0,17-27,3.07,9,12,38
Purslane,6.6,15-33,6.55,11,14,23
Carrots,5.6,17-35,7.57,14,14,27
Avocado,7.0,26-35,4.88,12,14,32
Spinach,6.0,26-27,2.59,11,6,28
Cabbage,5.8,30-29,0.91,13,15,17
Betel Leaf,6.9,26-34,4.03,10,12,25
Dandelion Greens,5.8,23-26,6.79,10,7,17
Snake Gourd,6.8,24-31,1.07,7,11,27
Sage,5.6,30-30,7.23,6,8,19
Chili Pepper,5.9,18-30,8.05,7,8,23
Pandan,5.7,15-34,9.5,15,7,27
Brussels Sprouts,6.0,18-30,5.96,11,15,15
Tomato,5.6,29-31,0.72,13,9,27
Ceylon Spinach,6.4,23-26,5.47,8,6,24
Oregano,5.7,29-32,9.36,15,7,35
Green Onions,6.3,24-28,0.63,15,9,40
Dandelion Greens,6.4,24-35,1.85,14,8,24
Wasabi,6.0,26-33,9.06,9,7,15
Jackfruit,6.4,24-35,7.64,8,6,32
Curry Leaves,6.4,15-25,2.98,10,11,19
Luffa,6.0,30-35,4.27,10,9,17
Chamomile,6.0,19-32,3.59,13,5,29
Kale,6.2,23-30,1.72,13,12,24
Coriander,5.9,27-30,4.17,15,8,40
Lychee,6.3,28-33,4.36,5,5,32
Peppermint,6.4,19-32,1.96,10,9,27
Dandelion Greens,6.8,21-27,5.67,8,13,33
Spinach,6.9,18-32,8.63,12,8,21
Seaweed,5.6,30-33,9.12,15,11,22
Coffee,5.6,26-30,6.91,11,15,22
Sugarcane,5.6,22-35,1.82,11,7,20
Fenugreek,7.0,21-34,6.29,10,15,20
Neem,5.7,18-28,0.85,6,14,20
Celery,5.9,29-26,0.59,14,10,19
Curry Leaves,5.8,19-35,2.88,12,6,37
Turmeric,6.9,24-27,4.96,12,14,40
Mulberry,5.9,15-26,8.06,14,12,33
Asparagus,5.8,25-32,7.72,6,7,26
Melons,5.5,29-34,2.3,10,6,17
Seaweed,6.6,28-35,3.56,12,6,36
Wasabi,6.9,25-34,5.91,15,6,29
Persimmon,5.5,20-27,7.58,10,10,35
Dandelion Greens,6.1,22-25,1.63,7,13,40
Holy Basil,6.0,18-27,7.29,9,10,38
Wasabi,6.8,25-27,3.69,5,10,18
Spinach,5.9,16-25,2.5,9,8,15
Mushrooms,5.6,18-35,0.61,7,9,24
Snake Gourd,5.9,30-32,0.91,5,13,36
Microgreens,5.9,20-28,6.93,5,12,24
Sweet Corn,6.4,15-32,4.55,7,15,36
Pomegranate,6.9,19-30,8.28,14,15,20
Chamomile,5.7,24-31,4.75,6,13,15
Dill,6.1,23-29,9.17,5,5,36
Microgreens,6.1,30-27,8.66,9,5,23
Sweet Corn,5.6,27-29,4.93,7,9,39
Mango,5.9,29-28,7.99,12,15,36
Marjoram,6.7,16-33,9.81,5,9,30
Vanilla,6.2,24-32,5.28,6,11,17
Arugula,5.5,28-33,6.55,9,14,35
Dragon Fruit,6.5,25-32,9.19,15,9,19
Sugarcane,6.5,29-26,8.8,6,11,21
Green Onions,6.7,25-31,4.68,8,9,29
Lychee,6.6,16-26,4.91,13,15,24
Passionfruit,6.1,19-33,2.67,13,7,22
Snake Gourd,6.3,21-28,1.0,5,15,30
Moringa,6.5,19-27,7.59,9,12,22
Turmeric,6.3,29-35,1.09,11,14,16
Fenugreek,5.6,22-27,9.4,10,8,18
Chili Pepper,6.1,21-32,3.36,10,5,29
